tema,indicador,periodo,categoria,codigo_categoria,valor,unidade,territorio,codigo_territorio,nivel_geografico,situacao_periodo,fonte,fonte_url,data_extracao,observacao
agricultura,area_plantada_ou_destinada_colheita,2023,Total,0,168827,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2023/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,area_plantada_ou_destinada_colheita,2024,Total,0,171959,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,"Soma de áreas por cultura, não área física única."
agricultura,valor_producao,2015,Total,0,143215000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2015/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2016,Total,0,228770000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2016/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2017,Total,0,209002000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2017/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2018,Total,0,305938000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2018/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2019,Total,0,358865000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2019/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2020,Total,0,458175000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2020/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2021,Total,0,1236744000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2021/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2022,Total,0,1341797000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2022/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2023,Total,0,1079039000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2023/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,valor_producao,2024,Total,0,1013964000,BRL,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/215?localidades=N6%5B5002704%5D&classificacao=782%5B0%5D,2026-09-17,Valor original em mil reais; convertido para reais.
agricultura,area_plantada_ou_destinada_colheita,2024,Abacate,40129,1,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Abacaxi*,40092,65,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Algodão herbáceo (em caroço),40099,1930,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Banana (cacho),40136,49,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Batata-doce,40104,2,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Borracha (látex coagulado),40137,35,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Cana-de-açúcar,40106,1753,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Coco-da-baía*,40145,3,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Feijão (em grão),40112,260,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Girassol (em grão),40114,210,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Goiaba,40149,4,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Laranja,40151,14,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Limão,40152,27,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Mamão,40261,4,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Mandioca,40119,394,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
agricultura,area_plantada_ou_destinada_colheita,2024,Manga,40262,1,ha,Campo Grande (MS),5002704,municipio,ano_completo,IBGE PAM tabela 5457,https://servicodados.ibge.gov.br/api/v3/agregados/5457/periodos/2024/variaveis/8331?localidades=N6%5B5002704%5D&classificacao=782%5Ball%5D,2026-09-17,Ausência de valor da produção para um produto não deve ser interpretada como zero.
